ppantID,image,confidence,choice,correct,intervention
,,,,,
497922,74,8,real,incorrect,A
,,,,,
497922,84,5,ai,correct,A
,,,,,
497922,89,5,ai,correct,A
,,,,,
497922,42,4,ai,incorrect,A
,,,,,
497922,11,6,ai,incorrect,A
,,,,,
497922,37,4,real,correct,A
,,,,,
497922,92,3,ai,correct,A
,,,,,
497922,47,4,ai,incorrect,A
,,,,,
497922,5,4,real,correct,A
,,,,,
497922,75,5,ai,correct,A
,,,,,
497922,55,5,ai,correct,A
,,,,,
497922,50,4,ai,incorrect,A
,,,,,
497922,79,4,ai,correct,A
,,,,,
497922,24,5,ai,incorrect,A
,,,,,
497922,18,5,ai,incorrect,A
,,,,,
497922,13,4,ai,incorrect,A
,,,,,
497922,25,5,real,correct,A
,,,,,
497922,29,4,ai,incorrect,A
,,,,,
497922,63,5,real,incorrect,A
,,,,,
497922,96,5,ai,correct,A
,,,,,
520043,81,9,ai,correct,D
,,,,,
520043,7,9,real,correct,D
,,,,,
520043,92,7,ai,correct,D
,,,,,
520043,66,8,real,incorrect,D
,,,,,
520043,36,9,real,correct,D
,,,,,
520043,36,9,real,correct,D
,,,,,
520043,94,8,ai,correct,D
,,,,,
520043,28,8,real,correct,D
,,,,,
520043,28,8,real,correct,D
,,,,,
520043,47,6,ai,incorrect,D
,,,,,
520043,87,5,real,incorrect,D
,,,,,
520043,51,7,ai,correct,D
,,,,,
520043,54,6,ai,correct,D
,,,,,
520043,8,7,ai,incorrect,D
,,,,,
520043,15,8,real,correct,D
,,,,,
520043,24,7,ai,incorrect,D
,,,,,
520043,69,8,ai,correct,D
,,,,,
520043,33,9,ai,incorrect,D
,,,,,
520043,27,7,real,correct,D
,,,,,
520043,89,7,ai,correct,D
,,,,,
395491,57,6,real,incorrect,A
,,,,,
395491,41,9,real,correct,A
,,,,,
395491,73,9,real,incorrect,A
,,,,,
395491,11,9,real,correct,A
,,,,,
395491,68,9,real,incorrect,A
,,,,,
395491,63,9,real,incorrect,A
,,,,,
395491,7,9,real,correct,A
,,,,,
395491,42,9,real,correct,A
,,,,,
395491,13,9,real,correct,A
,,,,,
395491,24,9,real,correct,A
,,,,,
395491,96,9,real,incorrect,A
,,,,,
395491,84,9,real,incorrect,A
,,,,,
395491,6,9,real,correct,A
,,,,,
395491,45,9,real,correct,A
,,,,,
395491,39,9,real,correct,A
,,,,,
395491,37,9,real,correct,A
,,,,,
395491,99,9,real,incorrect,A
,,,,,
395491,95,9,real,incorrect,A
,,,,,
395491,90,9,real,incorrect,A
,,,,,
395491,9,9,real,correct,A
,,,,,
107015,91,4,real,incorrect,A
,,,,,
107015,72,5,ai,correct,A
,,,,,
107015,60,2,real,incorrect,A
,,,,,
107015,47,5,ai,incorrect,A
,,,,,
107015,86,4,ai,correct,A
,,,,,
107015,13,5,ai,incorrect,A
,,,,,
107015,82,2,ai,correct,A
,,,,,
107015,25,3,real,correct,A
,,,,,
107015,75,3,real,incorrect,A
,,,,,
107015,21,1,real,correct,A
,,,,,
107015,70,2,ai,correct,A
,,,,,
107015,96,0,real,incorrect,A
,,,,,
107015,15,1,ai,incorrect,A
,,,,,
107015,65,2,ai,correct,A
,,,,,
107015,51,2,real,incorrect,A
,,,,,
107015,36,3,ai,incorrect,A
,,,,,
107015,2,3,real,correct,A
,,,,,
107015,92,0,real,incorrect,A
,,,,,
107015,30,3,real,correct,A
,,,,,
107015,23,1,ai,incorrect,A
,,,,,
280347,61,4,ai,correct,D
,,,,,
280347,87,3,ai,correct,D
,,,,,
280347,52,7,real,incorrect,D
,,,,,
280347,67,9,ai,correct,D
,,,,,
280347,15,9,real,correct,D
,,,,,
280347,60,8,real,incorrect,D
,,,,,
280347,69,3,ai,correct,D
,,,,,
280347,91,9,ai,correct,D
,,,,,
280347,57,7,ai,correct,D
,,,,,
280347,30,9,real,correct,D
,,,,,
280347,68,3,ai,correct,D
,,,,,
280347,18,9,real,correct,D
,,,,,
